Timer,ULVAC.Stage1.Temp1,ULVAC.Stage2.Temp1,EN4.Power,EN4.Current,EN4.Volt,PLA5.Match.Load.Posi,PLA5.Match.Tune.Posi,PLA5.Match.Load.Pre,PLA5.Match.Tune.Pre,PLA5.Match.DCBias,SBRF5.Forward,SBRF5.Reflect,SBRF5.SetPower,PWESC.Volt1,PWESC.Volt2,OES.Data6,Line.Gauge.i,Ion.Gauge.i,Baratron.Gauge.i,Ar.MFC.i,Ar2.MFC.i,Ar.MFC.o,Ar2.MFC.o,PWPDS.Data,PWPDS.Data2,PWPDS.Data3,PWPDS.Data4,PWPDS.Data5,PWPDS.Data6,PWPDS.Data7,PWPDS.Data8
[2026.02.21 02:21:58],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,2.31E-06,0.0,0,0,0,0,211757056,211752624,211751552,211748176,211746496,211750496,211749680,211758944
[2026.02.21 02:21:59],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.21E-03,2.29E-06,0.0,0,0,0,0,211756352,211756016,211751600,211749248,211747632,211747920,211751168,211755712
[2026.02.21 02:22:00],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,2.28E-06,0.0,0,0,0,0,211756960,211749056,211750912,211751088,211747904,211748448,211747536,211757424
[2026.02.21 02:22:01],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,2.26E-06,0.0,0,0,0,0,211755168,211752384,211749072,211752000,211748112,211749104,211747936,211752272
[2026.02.21 02:22:02],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,2.23E-06,0.0,0,0,0,0,211756304,211747104,211749168,211751520,211747824,211748576,211747968,211755568
[2026.02.21 02:22:03],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,2.23E-06,0.0,0,0,0,0,211753360,211752736,211748576,211748448,211749808,211750000,211748992,211751760
[2026.02.21 02:22:04],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,2.18E-06,0.0,0,0,0,0,211750736,211752800,211745088,211747552,211754128,211746016,211753040,211744464
[2026.02.21 02:22:05],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,2.14E-06,0.0,0,0,0,0,211746688,211765296,211743552,211745072,211754400,211744432,211755200,211747904
[2026.02.21 02:22:06],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,2.18E-06,0.0,0,0,0,0,211747360,211754576,211744352,211746384,211752992,211744656,211755648,211744320
[2026.02.21 02:22:07],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,2.14E-06,0.0,0,0,0,0,211744576,211752624,211743872,211746320,211752128,211744144,211754976,211739088
[2026.02.21 02:22:08],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,2.11E-06,0.0,0,0,0,0,211743872,211756512,211744672,211745552,211752496,211744576,211753904,211740576
[2026.02.21 02:22:09],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,2.08E-06,0.0,0,0,0,0,211743936,211752752,211743968,211744864,211752768,211743664,211753456,211739104
[2026.02.21 02:22:10],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,2.08E-06,0.0,0,0,0,0,211740912,211751360,211743808,211744704,211753856,211744688,211754704,211739920
[2026.02.21 02:22:11],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,1.05E-05,0.1,57,0,80,0,211745600,211751840,211742912,211745072,211752704,211743360,211751456,211741248
[2026.02.21 02:22:12],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,3.81E-03,3.6,79,0,80,0,211743392,211757936,211744992,211744496,211754640,211743856,211750816,211740992
[2026.02.21 02:22:13],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,3.84E-03,3.6,80,0,80,0,211743136,211756160,211744416,211741488,211753872,211743328,211753488,211741312
[2026.02.21 02:22:14],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,3.81E-03,3.5,80,0,80,0,211740704,211753808,211743840,211743664,211754000,211743648,211753504,211739776
[2026.02.21 02:22:15],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,3.84E-03,3.5,80,0,80,0,211744576,211750496,211742544,211742832,211752608,211744608,211752592,211739600
[2026.02.21 02:22:16],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,3.84E-03,3.5,80,0,80,0,211742800,211754176,211742976,211744160,211751024,211744224,211754032,211741600
[2026.02.21 02:22:17],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,3.75E-03,3.5,80,0,80,0,211744208,211750688,211741904,211743360,211750768,211745456,211754144,211743200
[2026.02.21 02:22:18],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,3.78E-03,3.5,80,0,80,0,211741744,211755760,211742656,211743792,211752816,211746480,211754208,211744720
[2026.02.21 02:22:19],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,3.75E-03,3.5,80,0,80,0,211742864,211758480,211741520,211744464,211753744,211744832,211754208,211742272
[2026.02.21 02:22:20],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,3.75E-03,3.5,80,0,80,0,211742416,211752000,211741696,211744512,211752464,211744368,211753952,211741504
[2026.02.21 02:22:21],64.9,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,3.70E-03,3.5,80,0,80,0,211742176,211752576,211742064,211743152,211753184,211745280,211753792,211741088
[2026.02.21 02:22:22],64.9,9,3014,4.8,620,80.0,80.0,80,80,617,0,0,0,0,0,0.0,5.18E-03,3.64E-03,3.4,80,0,80,0,211745552,211749744,211741936,211744784,211759824,211746192,211753216,211742960
[2026.02.21 02:22:23],64.9,9,3013,4.8,620,80.0,80.0,80,80,617,0,0,0,0,0,0.0,5.18E-03,3.64E-03,3.4,80,0,80,0,211745008,211758560,211741792,211744384,211754032,211748752,211754784,211742864
[2026.02.21 02:22:24],64.9,9,3000,4.8,620,80.0,80.0,80,80,617,0,0,0,0,0,0.0,5.16E-03,3.67E-03,3.5,80,0,80,0,211745232,211752656,211741920,211745456,211754720,211746800,211754288,211742304
[2026.02.21 02:22:25],64.8,9,3000,4.8,621,80.0,80.0,80,80,617,0,0,0,0,0,0.0,5.16E-03,3.70E-03,3.5,80,0,80,0,211742720,211753488,211742400,211744160,211755008,211746640,211754736,211746768
[2026.02.21 02:22:26],64.8,9,3000,4.8,621,80.0,80.0,80,80,617,0,0,0,0,0,0.0,5.16E-03,3.70E-03,3.4,80,0,80,0,211743632,211757488,211742896,211745232,211754240,211746608,211754160,211740528
