Timer,ULVAC.Stage1.Temp1,ULVAC.Stage2.Temp1,EN4.Power,EN4.Current,EN4.Volt,PLA5.Match.Load.Posi,PLA5.Match.Tune.Posi,PLA5.Match.Load.Pre,PLA5.Match.Tune.Pre,PLA5.Match.DCBias,SBRF5.Forward,SBRF5.Reflect,SBRF5.SetPower,PWESC.Volt1,PWESC.Volt2,OES.Data6,Line.Gauge.i,Ion.Gauge.i,Baratron.Gauge.i,Ar.MFC.i,Ar2.MFC.i,Ar.MFC.o,Ar2.MFC.o,PWPDS.Data,PWPDS.Data2,PWPDS.Data3,PWPDS.Data4,PWPDS.Data5,PWPDS.Data6,PWPDS.Data7,PWPDS.Data8
[2026.02.13 12:24:06],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.98E-03,9.40E-07,0.0,0,0,0,0,211748288,211737952,211741600,211744688,211742272,211750384,211748352,211756896
[2026.02.13 12:24:07],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,9.26E-07,0.0,0,0,0,0,211747232,211743584,211741360,211743712,211743776,211750592,211746992,211756000
[2026.02.13 12:24:08],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,9.19E-07,0.0,0,0,0,0,211750080,211743184,211740672,211747136,211741040,211745456,211744656,211756736
[2026.02.13 12:24:09],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.98E-03,9.19E-07,0.0,0,0,0,0,211747936,211738304,211742096,211747232,211741376,211745936,211746416,211757648
[2026.02.13 12:24:10],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.98E-03,9.19E-07,0.0,0,0,0,0,211745920,211739808,211739920,211745216,211742272,211744976,211745824,211756864
[2026.02.13 12:24:11],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.98E-03,9.05E-07,0.0,0,0,0,0,211749168,211737008,211740624,211743040,211744192,211745008,211746848,211758240
[2026.02.13 12:24:12],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,8.99E-07,0.0,0,0,0,0,211748032,211739264,211740272,211742368,211743344,211744624,211748848,211757888
[2026.02.13 12:24:13],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,8.99E-07,0.0,0,0,0,0,211741024,211751712,211737696,211741904,211751424,211742112,211751728,211743568
[2026.02.13 12:24:14],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.98E-03,8.99E-07,0.0,0,0,0,0,211738448,211744880,211738912,211739744,211753616,211741632,211750464,211745872
[2026.02.13 12:24:15],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,8.92E-07,0.0,0,0,0,0,211737072,211749264,211736960,211739552,211753024,211740768,211750848,211748864
