Timer,ULVAC.Stage1.Temp1,ULVAC.Stage2.Temp1,EN4.Power,EN4.Current,EN4.Volt,PLA5.Match.Load.Posi,PLA5.Match.Tune.Posi,PLA5.Match.Load.Pre,PLA5.Match.Tune.Pre,PLA5.Match.DCBias,SBRF5.Forward,SBRF5.Reflect,SBRF5.SetPower,PWESC.Volt1,PWESC.Volt2,OES.Data6,Line.Gauge.i,Ion.Gauge.i,Baratron.Gauge.i,Ar.MFC.i,Ar2.MFC.i,Ar.MFC.o,Ar2.MFC.o,PWPDS.Data,PWPDS.Data2,PWPDS.Data3,PWPDS.Data4,PWPDS.Data5,PWPDS.Data6,PWPDS.Data7,PWPDS.Data8
[2026.02.12 22:40:17],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.43E-03,1.19E-06,0.0,0,0,0,0,211750592,211734352,211746912,211748896,211739104,211750816,211745024,211763264
[2026.02.12 22:40:18],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.43E-03,1.20E-06,0.0,0,0,0,0,211750176,211740864,211747360,211750512,211738624,211750000,211747136,211760880
[2026.02.12 22:40:19],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.41E-03,1.20E-06,0.0,0,0,0,0,211750336,211734576,211748864,211751136,211738960,211749696,211748080,211762768
[2026.02.12 22:40:20],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.43E-03,1.20E-06,0.0,0,0,0,0,211748640,211739104,211747136,211747088,211738352,211749216,211746496,211761120
[2026.02.12 22:40:21],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.43E-03,1.19E-06,0.0,0,0,0,0,211745392,211746288,211744032,211743168,211747120,211746048,211748784,211752368
[2026.02.12 22:40:22],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.43E-03,1.19E-06,0.0,0,0,0,0,211740336,211744768,211743040,211743072,211749840,211746272,211750784,211752544
[2026.02.12 22:40:23],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.43E-03,1.19E-06,0.0,0,0,0,0,211736912,211753280,211741904,211741536,211746912,211743920,211750304,211750736
[2026.02.12 22:40:24],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.43E-03,1.19E-06,0.0,0,0,0,0,211740080,211742560,211740352,211742336,211746032,211744240,211749968,211752528
[2026.02.12 22:40:25],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.43E-03,1.19E-06,0.0,0,0,0,0,211737408,211748672,211743280,211740688,211747536,211744240,211747584,211750592
[2026.02.12 22:40:26],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.43E-03,1.19E-06,0.0,0,0,0,0,211737632,211748368,211742960,211741232,211746912,211744448,211748928,211748960
[2026.02.12 22:40:27],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.41E-03,1.17E-06,0.0,0,0,0,0,211742736,211750160,211742432,211740304,211746816,211743568,211752320,211751984
[2026.02.12 22:40:28],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.39E-03,3.26E-04,1.4,111,0,150,0,211744096,211746304,211743936,211739888,211747232,211744352,211752368,211750608
[2026.02.12 22:40:29],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.41E-03,5.38E-03,6.1,148,0,150,0,211743136,211747152,211742160,211742448,211747216,211746000,211750464,211748784
[2026.02.12 22:40:30],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.43E-03,5.50E-03,6.0,150,0,150,0,211741424,211745824,211741152,211740624,211746016,211745696,211749136,211750416
[2026.02.12 22:40:31],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.39E-03,5.54E-03,5.9,150,0,150,0,211741856,211745184,211742592,211743232,211745712,211744432,211750864,211753536
[2026.02.12 22:40:32],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.41E-03,5.58E-03,5.8,150,0,150,0,211738976,211743296,211741216,211740288,211745712,211744864,211747296,211750672
[2026.02.12 22:40:33],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.41E-03,5.54E-03,5.8,150,0,150,0,211740896,211747904,211743360,211741312,211747200,211745312,211748544,211751056
