Timer,ULVAC.Stage1.Temp1,ULVAC.Stage2.Temp1,EN4.Power,EN4.Current,EN4.Volt,PLA5.Match.Load.Posi,PLA5.Match.Tune.Posi,PLA5.Match.Load.Pre,PLA5.Match.Tune.Pre,PLA5.Match.DCBias,SBRF5.Forward,SBRF5.Reflect,SBRF5.SetPower,PWESC.Volt1,PWESC.Volt2,OES.Data6,Line.Gauge.i,Ion.Gauge.i,Baratron.Gauge.i,Ar.MFC.i,Ar2.MFC.i,Ar.MFC.o,Ar2.MFC.o,PWPDS.Data,PWPDS.Data2,PWPDS.Data3,PWPDS.Data4,PWPDS.Data5,PWPDS.Data6,PWPDS.Data7,PWPDS.Data8
[2026.02.12 22:35:15],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.91E-07,0.0,0,0,0,0,211749600,211742784,211745168,211741584,211738688,211752432,211747584,211754176
[2026.02.12 22:35:16],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.86E-07,0.0,0,0,0,0,211749088,211739248,211744832,211743024,211738448,211750400,211748256,211756432
[2026.02.12 22:35:17],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.91E-07,0.0,0,0,0,0,211749312,211744992,211745360,211742160,211738816,211750944,211744800,211754016
[2026.02.12 22:35:18],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.91E-07,0.0,0,0,0,0,211748064,211748240,211745408,211741712,211738448,211751040,211747728,211755136
[2026.02.12 22:35:19],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.86E-07,0.0,0,0,0,0,211752320,211739504,211745280,211741952,211738960,211751424,211748784,211754624
[2026.02.12 22:35:20],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.09E-03,6.86E-07,0.0,0,0,0,0,211750768,211742000,211745360,211741760,211738272,211751584,211747824,211755072
[2026.02.12 22:35:21],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.71E-07,0.0,0,0,0,0,211744496,211744384,211743632,211740496,211741600,211750304,211744960,211751056
[2026.02.12 22:35:22],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.76E-07,0.0,0,0,0,0,211741424,211750864,211740688,211738320,211745696,211749728,211751984,211747744
[2026.02.12 22:35:23],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.66E-07,0.0,0,0,0,0,211741904,211752928,211740736,211738560,211745696,211749664,211752256,211749392
[2026.02.12 22:35:24],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.66E-07,0.0,0,0,0,0,211736816,211747520,211740592,211738128,211746352,211748816,211748720,211745616
[2026.02.12 22:35:25],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.66E-07,0.0,0,0,0,0,211741840,211755360,211741744,211737488,211746224,211749088,211749008,211744048
[2026.02.12 22:35:26],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.71E-07,0.0,0,0,0,0,211736240,211747376,211742544,211738080,211744992,211749392,211747760,211746400
[2026.02.12 22:35:27],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.66E-07,0.0,0,0,0,0,211743120,211739536,211741184,211737056,211744576,211749008,211752176,211744768
[2026.02.12 22:35:28],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.51E-07,0.0,0,0,150,0,211741968,211737456,211741040,211736944,211746112,211751616,211754416,211746224
[2026.02.12 22:35:29],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,3.87E-04,5.9,144,0,150,0,211739904,211753040,211740656,211736336,211744384,211748848,211750976,211745392
[2026.02.12 22:35:30],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,5.50E-03,6.0,150,0,150,0,211741312,211751344,211738864,211736848,211746336,211748688,211753856,211745488
[2026.02.12 22:35:31],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.09E-03,5.54E-03,6.0,150,0,150,0,211740160,211745792,211739888,211737152,211744560,211748544,211753808,211746144
[2026.02.12 22:35:32],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.09E-03,5.46E-03,5.9,150,0,150,0,211743360,211745360,211740592,211734672,211743600,211749104,211752176,211746368
[2026.02.12 22:35:33],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.05E-03,5.42E-03,5.9,150,0,150,0,211741392,211751424,211739200,211736640,211746288,211750048,211752608,211746848
[2026.02.12 22:35:34],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.09E-03,5.46E-03,5.9,150,0,150,0,211742672,211746272,211739216,211733904,211746240,211750336,211749616,211746128
[2026.02.12 22:35:35],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,5.50E-03,5.9,150,0,150,0,211740096,211742864,211739328,211736912,211745600,211749744,211751504,211747472
[2026.02.12 22:35:36],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,5.54E-03,5.9,150,0,150,0,211741504,211746176,211741440,211736576,211746016,211749392,211751936,211746000
[2026.02.12 22:35:37],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,5.46E-03,5.9,150,0,150,0,211738960,211747632,211739008,211736848,211745072,211749040,211752224,211747632
[2026.02.12 22:35:38],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,5.42E-03,5.9,150,0,150,0,211739920,211744800,211740192,211737424,211744368,211748144,211751664,211746752
