Timer,ULVAC.Stage1.Temp1,ULVAC.Stage2.Temp1,EN4.Power,EN4.Current,EN4.Volt,PLA5.Match.Load.Posi,PLA5.Match.Tune.Posi,PLA5.Match.Load.Pre,PLA5.Match.Tune.Pre,PLA5.Match.DCBias,SBRF5.Forward,SBRF5.Reflect,SBRF5.SetPower,PWESC.Volt1,PWESC.Volt2,OES.Data6,Line.Gauge.i,Ion.Gauge.i,Baratron.Gauge.i,Ar.MFC.i,Ar2.MFC.i,Ar.MFC.o,Ar2.MFC.o,PWPDS.Data,PWPDS.Data2,PWPDS.Data3,PWPDS.Data4,PWPDS.Data5,PWPDS.Data6,PWPDS.Data7,PWPDS.Data8
[2026.02.27 06:26:08],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,8.92E-07,0.0,0,0,0,0,211750112,211740064,211748240,211743728,211746224,211743680,211744880,211757040
[2026.02.27 06:26:09],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,8.79E-07,0.0,0,0,0,0,211750672,211737824,211748832,211744144,211746864,211743248,211745424,211756064
[2026.02.27 06:26:10],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,8.72E-07,0.0,0,0,0,0,211754032,211737296,211749008,211742832,211745168,211743472,211745904,211755376
[2026.02.27 06:26:11],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,8.79E-07,0.0,0,0,0,0,211748624,211740720,211747872,211742864,211744112,211745664,211745056,211756560
[2026.02.27 06:26:12],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,8.72E-07,0.0,0,0,0,0,211746976,211736128,211747232,211743456,211745920,211746032,211744144,211754272
[2026.02.27 06:26:13],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,8.66E-07,0.0,0,0,0,0,211747200,211736912,211749184,211743328,211746096,211746688,211742800,211756432
[2026.02.27 06:26:14],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,8.53E-07,0.0,0,0,0,0,211739392,211745648,211744784,211739008,211756048,211744976,211748800,211748352
[2026.02.27 06:26:15],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,8.66E-07,0.0,0,0,0,0,211739456,211746048,211743392,211738656,211755792,211744752,211750768,211746528
[2026.02.27 06:26:16],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,8.46E-07,0.0,0,0,0,0,211736656,211744400,211744016,211740096,211756304,211744656,211749232,211747616
[2026.02.27 06:26:17],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,8.40E-07,0.0,0,0,0,0,211738896,211747712,211745616,211739376,211755024,211743840,211749616,211748224
[2026.02.27 06:26:18],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.98E-03,8.34E-07,0.0,0,0,0,0,211737664,211744912,211744064,211742288,211755024,211745216,211748560,211745088
[2026.02.27 06:26:19],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,8.46E-07,0.0,0,0,0,0,211739680,211743136,211745264,211742528,211754208,211743680,211748016,211747888
[2026.02.27 06:26:20],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,8.21E-07,0.0,0,0,0,0,211737536,211744240,211744512,211742096,211753824,211743840,211750272,211745840
[2026.02.27 06:26:21],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,8.34E-07,0.0,8,0,150,0,211736672,211744208,211742016,211737648,211760880,211744544,211750864,211744640
[2026.02.27 06:26:22],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,1.73E-04,6.0,148,0,150,0,211737440,211747632,211741568,211736976,211755216,211743600,211750000,211744752
[2026.02.27 06:26:23],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,5.54E-03,6.0,150,0,150,0,211738912,211746256,211743776,211737168,211754752,211743008,211749008,211745216
[2026.02.27 06:26:24],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,5.54E-03,6.0,150,0,150,0,211737184,211744640,211741824,211738592,211754640,211743984,211749584,211743232
[2026.02.27 06:26:25],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,5.50E-03,5.9,150,0,150,0,211735664,211743040,211742144,211738208,211755440,211743696,211750192,211745936
[2026.02.27 06:26:26],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.98E-03,5.50E-03,5.9,150,0,150,0,211737008,211746336,211742976,211737440,211754864,211743776,211749232,211747664
[2026.02.27 06:26:27],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,5.54E-03,5.8,150,0,150,0,211737712,211751376,211741984,211738720,211754992,211742704,211749936,211747904
[2026.02.27 06:26:28],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,5.50E-03,5.8,150,0,150,0,211739200,211749984,211742368,211738496,211754560,211742320,211749584,211748176
[2026.02.27 06:26:29],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,5.54E-03,5.8,150,0,150,0,211738128,211747936,211744096,211737296,211755200,211742640,211751216,211748016
[2026.02.27 06:26:30],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,5.46E-03,5.9,150,0,150,0,211739472,211747264,211742352,211737072,211755856,211743456,211750624,211746912
[2026.02.27 06:26:31],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.96E-03,5.46E-03,5.9,150,0,150,0,211740112,211745712,211742864,211737408,211755120,211743904,211751536,211746224
[2026.02.27 06:26:32],64.7,9,1001,1.8,555,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.98E-03,5.50E-03,5.9,150,0,150,0,211739488,211746592,211740784,211736672,211756288,211742640,211752432,211750368
[2026.02.27 06:26:33],64.7,9,1002,1.8,557,80.0,80.0,80,80,554,0,0,0,0,0,0.0,5.01E-03,5.42E-03,5.8,150,0,150,0,211737648,211744464,211742160,211737984,211755600,211744560,211750528,211746064
[2026.02.27 06:26:34],64.7,10,1000,1.8,556,80.0,80.0,80,80,554,0,0,0,0,0,0.0,5.01E-03,5.42E-03,5.9,150,0,150,0,211740800,211743264,211740752,211741776,211755264,211747344,211751424,211743760
[2026.02.27 06:26:35],64.7,10,1000,1.8,556,80.0,80.0,80,80,554,0,0,0,0,0,0.0,4.98E-03,5.58E-03,5.8,150,0,150,0,211738560,211745376,211742080,211742672,211756704,211748000,211750992,211745568
[2026.02.27 06:26:36],64.7,10,1000,1.9,506,80.0,80.0,80,80,554,0,0,0,0,0,0.0,4.98E-03,5.42E-03,5.0,150,0,150,0,211739408,211747568,211742720,211742768,211755952,211747600,211749840,211746112
[2026.02.27 06:26:37],64.7,10,1000,2.2,454,86.9,71.0,80,80,554,0,0,0,0,0,0.0,4.98E-03,5.46E-03,5.0,150,0,150,0,211843904,211790096,211940368,211816432,212118592,212052976,212027392,211793936
[2026.02.27 06:26:38],64.7,10,1000,2.2,455,86.9,71.0,80,80,452,500,0,500,0,0,0.0,4.98E-03,5.42E-03,5.2,150,0,150,0,211843392,211785312,211957280,211805296,212077152,212118656,212026656,211794256
[2026.02.27 06:26:39],64.7,10,1000,2.2,454,88.6,70.2,80,80,452,500,0,500,0,0,0.0,4.98E-03,5.46E-03,5.4,150,0,150,0,211842896,211768512,211933600,211823696,212074512,212170208,212031792,211794896
[2026.02.27 06:26:40],64.7,10,0,2.2,462,88.6,70.2,80,80,450,500,0,500,0,0,0.0,4.98E-03,5.42E-03,5.8,150,0,150,0,211843584,211750224,211950880,211833264,212049952,212183984,212027328,211793712
[2026.02.27 06:26:41],64.7,10,0,0.0,0,86.9,69.1,80,80,450,500,0,500,0,0,0.0,4.98E-03,5.50E-03,5.8,150,0,150,0,211843392,211764656,211948992,211817360,212070848,212110960,212036640,211793392
[2026.02.27 06:26:42],64.7,10,0,0.0,0,86.9,69.1,80,80,73,500,0,500,0,0,0.0,4.98E-03,5.54E-03,5.7,150,0,150,0,211841456,211860848,212007328,211788992,212155776,212001776,211997408,211794496
[2026.02.27 06:26:43],64.7,10,0,0.0,0,70.7,76.1,80,80,73,500,0,500,0,0,0.0,5.01E-03,5.54E-03,5.8,150,0,150,0,211843536,211859600,211990944,211796048,212135328,212029280,212011024,211796464
[2026.02.27 06:26:44],64.7,10,0,0.0,0,70.7,76.1,80,80,71,500,0,500,0,0,0.0,4.98E-03,5.50E-03,5.6,150,0,150,0,211843424,211862080,211990736,211791568,212161232,212026400,211997184,211794688
[2026.02.27 06:26:45],64.7,10,0,0.0,0,70.8,76.3,80,80,71,500,0,500,0,0,0.0,4.98E-03,5.54E-03,5.8,150,0,150,0,211843152,211851440,211989136,211790752,212119280,212001696,211995488,211795808
[2026.02.27 06:26:46],64.7,10,0,0.0,0,70.8,76.3,80,80,73,500,0,500,0,0,0.0,4.98E-03,5.54E-03,5.8,150,0,150,0,211842576,211845008,212001376,211796976,212120752,211996176,211993424,211793760
[2026.02.27 06:26:47],64.7,10,0,0.0,0,71.1,76.3,80,80,73,500,0,500,0,0,0.0,4.98E-03,5.50E-03,5.7,150,0,150,0,211844128,211865632,211990384,211786768,212160672,212007728,211984400,211794240
[2026.02.27 06:26:48],64.7,10,0,0.0,0,71.1,76.3,80,80,73,500,0,500,0,0,0.0,4.98E-03,5.46E-03,5.8,150,0,150,0,211841344,211858880,211994880,211796480,212130096,212003152,211994016,211794320
[2026.02.27 06:26:49],64.7,10,0,0.0,0,71.2,76.3,80,80,73,500,0,500,0,0,0.0,4.98E-03,5.46E-03,5.7,150,0,150,0,211843536,211862208,212010512,211794128,212149472,212045168,212011360,211793680
[2026.02.27 06:26:50],64.7,10,0,0.0,0,71.2,76.3,80,80,73,500,0,500,0,0,0.0,4.98E-03,5.50E-03,5.7,150,0,150,0,211842112,211870432,211996240,211788912,212166736,211991808,211991072,211793328
[2026.02.27 06:26:51],64.7,10,0,0.0,0,71.3,76.3,80,80,73,500,0,500,0,0,0.0,4.98E-03,5.50E-03,5.8,150,0,150,0,211842688,211857104,211983920,211791728,212139984,211995808,211988448,211793072
[2026.02.27 06:26:52],64.7,10,0,0.0,0,71.3,76.3,80,80,73,500,0,500,0,0,0.0,4.98E-03,5.50E-03,5.9,150,0,150,0,211844272,211866640,212013872,211798528,212152240,212041856,212005968,211794320
[2026.02.27 06:26:53],64.7,10,0,0.0,0,71.4,76.3,80,80,73,500,0,500,0,0,0.0,4.98E-03,5.46E-03,5.9,150,0,150,0,211845200,211859920,211990176,211790736,212123392,212005824,211987024,211794576
[2026.02.27 06:26:54],64.7,10,0,0.0,0,71.4,76.3,80,80,73,500,0,500,0,0,0.0,4.98E-03,5.50E-03,5.7,150,0,150,0,211843904,211855216,211989312,211791808,212112160,212006512,211983424,211795072
[2026.02.27 06:26:55],64.7,10,0,0.0,0,71.4,76.3,80,80,73,500,0,500,0,0,0.0,4.98E-03,5.50E-03,5.5,150,0,150,0,211842496,211865824,212014272,211790656,212157152,212051424,211998896,211794768
[2026.02.27 06:26:56],64.7,10,0,0.0,0,71.4,76.3,80,80,71,500,0,500,0,0,0.0,4.98E-03,5.50E-03,5.8,150,0,150,0,211843456,211867008,211995872,211790384,212156960,212061168,211990784,211794688
[2026.02.27 06:26:57],64.7,10,0,0.0,0,71.4,76.3,80,80,71,500,0,500,0,0,0.0,4.98E-03,5.50E-03,5.8,150,0,150,0,211842416,211868960,212018032,211790608,212177984,212051712,211995936,211795824
[2026.02.27 06:26:58],64.7,10,0,0.0,0,71.4,76.3,80,80,71,500,0,500,0,0,0.0,4.98E-03,5.50E-03,5.7,150,0,150,0,211843376,211859984,212000272,211801568,212132320,212017024,212002128,211796064
[2026.02.27 06:26:59],64.7,10,0,0.0,0,71.4,76.3,80,80,71,500,0,500,0,0,0.0,4.98E-03,5.50E-03,6.0,150,0,150,0,211844192,211887792,212020144,211792832,212204752,212049936,211997472,211796160
