Timer,ULVAC.Stage1.Temp1,ULVAC.Stage2.Temp1,EN4.Power,EN4.Current,EN4.Volt,PLA5.Match.Load.Posi,PLA5.Match.Tune.Posi,PLA5.Match.Load.Pre,PLA5.Match.Tune.Pre,PLA5.Match.DCBias,SBRF5.Forward,SBRF5.Reflect,SBRF5.SetPower,PWESC.Volt1,PWESC.Volt2,OES.Data6,Line.Gauge.i,Ion.Gauge.i,Baratron.Gauge.i,Ar.MFC.i,Ar2.MFC.i,Ar.MFC.o,Ar2.MFC.o,PWPDS.Data,PWPDS.Data2,PWPDS.Data3,PWPDS.Data4,PWPDS.Data5,PWPDS.Data6,PWPDS.Data7,PWPDS.Data8
[2026.02.13 12:20:58],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.91E-07,0.0,0,0,0,0,211749600,211742784,211745168,211741584,211738688,211752432,211747584,211754176
[2026.02.13 12:20:59],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.86E-07,0.0,0,0,0,0,211749088,211739248,211744832,211743024,211738448,211750400,211748256,211756432
[2026.02.13 12:21:00],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.91E-07,0.0,0,0,0,0,211749312,211744992,211745360,211742160,211738816,211750944,211744800,211754016
[2026.02.13 12:21:01],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.91E-07,0.0,0,0,0,0,211748064,211748240,211745408,211741712,211738448,211751040,211747728,211755136
[2026.02.13 12:21:02],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.86E-07,0.0,0,0,0,0,211752320,211739504,211745280,211741952,211738960,211751424,211748784,211754624
[2026.02.13 12:21:03],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.09E-03,6.86E-07,0.0,0,0,0,0,211750768,211742000,211745360,211741760,211738272,211751584,211747824,211755072
[2026.02.13 12:21:04],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.71E-07,0.0,0,0,0,0,211744496,211744384,211743632,211740496,211741600,211750304,211744960,211751056
[2026.02.13 12:21:05],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.76E-07,0.0,0,0,0,0,211741424,211750864,211740688,211738320,211745696,211749728,211751984,211747744
[2026.02.13 12:21:06],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.66E-07,0.0,0,0,0,0,211741904,211752928,211740736,211738560,211745696,211749664,211752256,211749392
[2026.02.13 12:21:07],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.66E-07,0.0,0,0,0,0,211736816,211747520,211740592,211738128,211746352,211748816,211748720,211745616
[2026.02.13 12:21:08],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.66E-07,0.0,0,0,0,0,211741840,211755360,211741744,211737488,211746224,211749088,211749008,211744048
[2026.02.13 12:21:09],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.71E-07,0.0,0,0,0,0,211736240,211747376,211742544,211738080,211744992,211749392,211747760,211746400
[2026.02.13 12:21:10],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.66E-07,0.0,0,0,0,0,211743120,211739536,211741184,211737056,211744576,211749008,211752176,211744768
[2026.02.13 12:21:11],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,6.51E-07,0.0,0,0,150,0,211741968,211737456,211741040,211736944,211746112,211751616,211754416,211746224
[2026.02.13 12:21:12],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,3.87E-04,5.9,144,0,150,0,211739904,211753040,211740656,211736336,211744384,211748848,211750976,211745392
[2026.02.13 12:21:13],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,5.50E-03,6.0,150,0,150,0,211741312,211751344,211738864,211736848,211746336,211748688,211753856,211745488
[2026.02.13 12:21:14],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.09E-03,5.54E-03,6.0,150,0,150,0,211740160,211745792,211739888,211737152,211744560,211748544,211753808,211746144
[2026.02.13 12:21:15],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.09E-03,5.46E-03,5.9,150,0,150,0,211743360,211745360,211740592,211734672,211743600,211749104,211752176,211746368
[2026.02.13 12:21:16],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.05E-03,5.42E-03,5.9,150,0,150,0,211741392,211751424,211739200,211736640,211746288,211750048,211752608,211746848
[2026.02.13 12:21:17],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.09E-03,5.46E-03,5.9,150,0,150,0,211742672,211746272,211739216,211733904,211746240,211750336,211749616,211746128
[2026.02.13 12:21:18],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,5.50E-03,5.9,150,0,150,0,211740096,211742864,211739328,211736912,211745600,211749744,211751504,211747472
[2026.02.13 12:21:19],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,5.54E-03,5.9,150,0,150,0,211741504,211746176,211741440,211736576,211746016,211749392,211751936,211746000
[2026.02.13 12:21:20],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,5.46E-03,5.9,150,0,150,0,211738960,211747632,211739008,211736848,211745072,211749040,211752224,211747632
[2026.02.13 12:21:21],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,5.42E-03,5.9,150,0,150,0,211739920,211744800,211740192,211737424,211744368,211748144,211751664,211746752
[2026.02.13 12:21:22],64.7,9,1003,1.8,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,5.46E-03,6.0,150,0,150,0,211738944,211748672,211740160,211735648,211744672,211746416,211750944,211746160
[2026.02.13 12:21:23],64.7,9,998,1.8,556,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,5.46E-03,5.9,150,0,150,0,211739584,211748608,211739296,211734496,211745104,211747056,211749472,211745136
[2026.02.13 12:21:24],64.7,9,997,1.8,556,80.0,80.0,80,80,554,0,0,0,0,0,0.0,5.12E-03,5.46E-03,5.9,150,0,150,0,211740752,211744992,211738464,211734880,211746224,211746528,211748416,211740800
[2026.02.13 12:21:25],64.7,9,999,1.8,556,80.0,80.0,80,80,554,0,0,0,0,0,0.0,5.12E-03,5.42E-03,5.8,150,0,150,0,211742544,211745760,211736688,211736208,211744640,211745088,211750528,211741968
[2026.02.13 12:21:26],64.7,9,1000,1.8,542,80.0,80.0,80,80,554,0,0,0,0,0,0.0,5.12E-03,5.46E-03,5.7,150,0,150,0,211739152,211748384,211741504,211739776,211744864,211748864,211752800,211745568
[2026.02.13 12:21:27],64.7,9,1000,2.0,507,80.0,80.0,80,80,535,0,0,0,0,0,0.0,5.12E-03,5.42E-03,5.5,150,0,150,0,211739632,211745072,211739552,211740976,211744800,211746720,211751472,211744176
[2026.02.13 12:21:28],64.7,9,1000,2.0,507,89.0,71.0,80,80,535,399,0,0,0,0,0.0,5.09E-03,5.42E-03,5.2,150,0,150,0,211847664,211828592,211968288,211790128,212050128,212005488,211999296,211792832
[2026.02.13 12:21:29],64.7,9,1000,2.0,506,89.0,71.0,80,80,508,399,0,400,0,0,0.0,5.09E-03,5.42E-03,5.7,150,0,150,0,211846880,211828976,211954512,211801936,212059216,212119584,211990240,211791648
[2026.02.13 12:21:30],64.7,9,1000,2.0,508,89.2,70.8,80,80,508,399,0,400,0,0,0.0,5.09E-03,5.38E-03,6.1,150,0,150,0,211845136,211846144,211992608,211811488,212072512,212111584,212007712,211791776
[2026.02.13 12:21:31],64.7,9,0,0.0,0,89.2,70.8,80,80,508,399,0,400,0,0,0.0,5.09E-03,5.46E-03,5.9,150,0,150,0,211846304,211822800,211944528,211801568,212046800,212145248,211992768,211791280
