Timer,ULVAC.Stage1.Temp1,ULVAC.Stage2.Temp1,EN4.Power,EN4.Current,EN4.Volt,PLA5.Match.Load.Posi,PLA5.Match.Tune.Posi,PLA5.Match.Load.Pre,PLA5.Match.Tune.Pre,PLA5.Match.DCBias,SBRF5.Forward,SBRF5.Reflect,SBRF5.SetPower,PWESC.Volt1,PWESC.Volt2,OES.Data6,Line.Gauge.i,Ion.Gauge.i,Baratron.Gauge.i,Ar.MFC.i,Ar2.MFC.i,Ar.MFC.o,Ar2.MFC.o,PWPDS.Data,PWPDS.Data2,PWPDS.Data3,PWPDS.Data4,PWPDS.Data5,PWPDS.Data6,PWPDS.Data7,PWPDS.Data8
[2026.02.21 00:28:41],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.14E-03,2.03E-06,0.0,0,0,0,0,211759952,211750768,211762304,211758608,211750224,211760400,211754224,211762992
[2026.02.21 00:28:42],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.16E-03,2.03E-06,0.0,0,0,0,0,211757040,211752560,211762416,211757568,211751648,211760672,211755008,211762480
[2026.02.21 00:28:43],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.16E-03,2.03E-06,0.0,0,0,0,0,211754560,211750800,211761840,211757360,211752688,211758672,211754384,211762512
[2026.02.21 00:28:44],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.16E-03,2.00E-06,0.0,0,0,0,0,211757792,211754544,211763008,211757488,211752096,211760608,211754560,211761120
[2026.02.21 00:28:45],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.14E-03,2.00E-06,0.0,0,0,0,0,211756672,211751968,211764416,211758080,211752720,211761056,211752720,211762464
[2026.02.21 00:28:46],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,1.97E-06,0.0,0,0,0,0,211753248,211767632,211756288,211752304,211759536,211754896,211763632,211750416
[2026.02.21 00:28:47],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.16E-03,1.94E-06,0.0,0,0,0,0,211748160,211762080,211757088,211751184,211759776,211754480,211760800,211752336
[2026.02.21 00:28:48],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.16E-03,1.93E-06,0.0,0,0,0,0,211748240,211755808,211757632,211757056,211758160,211754512,211761904,211749120
[2026.02.21 00:28:49],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.16E-03,1.94E-06,0.0,0,0,0,0,211748384,211761616,211756816,211756736,211758000,211753840,211760448,211750352
[2026.02.21 00:28:50],64.8,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.18E-03,1.94E-06,0.0,0,0,0,0,211748144,211756800,211755984,211754752,211757808,211753712,211761168,211750832
