Timer,ULVAC.Stage1.Temp1,ULVAC.Stage2.Temp1,EN4.Power,EN4.Current,EN4.Volt,PLA5.Match.Load.Posi,PLA5.Match.Tune.Posi,PLA5.Match.Load.Pre,PLA5.Match.Tune.Pre,PLA5.Match.DCBias,SBRF5.Forward,SBRF5.Reflect,SBRF5.SetPower,PWESC.Volt1,PWESC.Volt2,OES.Data6,Line.Gauge.i,Ion.Gauge.i,Baratron.Gauge.i,Ar.MFC.i,Ar2.MFC.i,Ar.MFC.o,Ar2.MFC.o,PWPDS.Data,PWPDS.Data2,PWPDS.Data3,PWPDS.Data4,PWPDS.Data5,PWPDS.Data6,PWPDS.Data7,PWPDS.Data8
[2026.02.20 18:02:37],64.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,1.83E-06,0.0,0,0,0,0,211747360,211739008,211742480,211742624,211738240,211742512,211744240,211754000
[2026.02.20 18:02:38],64.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,1.80E-06,0.0,0,0,0,0,211747376,211734240,211743136,211741280,211737440,211742400,211743408,211752336
[2026.02.20 18:02:39],64.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,1.79E-06,0.0,0,0,0,0,211748176,211733232,211743200,211741776,211735232,211741168,211742752,211757952
[2026.02.20 18:02:40],64.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,1.80E-06,0.0,0,0,0,0,211747056,211734448,211743920,211741136,211735280,211742080,211743232,211757088
[2026.02.20 18:02:41],64.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,1.75E-06,0.0,0,0,0,0,211747792,211732384,211744208,211740160,211736224,211742672,211741168,211756736
[2026.02.20 18:02:42],64.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,1.75E-06,0.0,0,0,0,0,211745504,211738896,211744000,211740496,211736112,211741920,211742304,211757216
[2026.02.20 18:02:43],64.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,1.75E-06,0.0,0,0,0,0,211750288,211738496,211742512,211740704,211735488,211741872,211742512,211759344
[2026.02.20 18:02:44],64.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,1.74E-06,0.0,0,0,0,0,211741872,211750992,211737632,211737728,211744176,211736976,211746432,211748704
[2026.02.20 18:02:45],64.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.71E-03,1.70E-06,0.0,0,0,0,0,211738992,211742112,211738064,211736672,211743792,211736960,211746272,211745680
[2026.02.20 18:02:46],64.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,1.71E-06,0.0,0,0,0,0,211736672,211741488,211737664,211736672,211746160,211736992,211744640,211745968
[2026.02.20 18:02:47],64.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,1.69E-06,0.0,0,0,0,0,211734752,211738816,211736688,211735744,211742976,211737536,211745024,211743024
[2026.02.20 18:02:48],64.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,1.70E-06,0.0,0,0,0,0,211736576,211739824,211736672,211735488,211744736,211737280,211744640,211743200
[2026.02.20 18:02:49],64.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,1.67E-06,0.0,0,0,0,0,211738592,211745904,211737424,211735056,211743088,211738240,211746048,211745312
[2026.02.20 18:02:50],64.3,10,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,1.69E-06,0.0,0,0,0,0,211738768,211745312,211738576,211735040,211744672,211737840,211747600,211746720
[2026.02.20 18:02:51],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,1.66E-06,0.0,0,0,0,0,211737872,211739552,211737648,211735872,211745840,211736976,211746224,211741280
[2026.02.20 18:02:52],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,4.43E-05,5.5,140,0,150,0,211736048,211743856,211739632,211734384,211746112,211739680,211746624,211743328
[2026.02.20 18:02:53],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,5.50E-03,6.1,150,0,150,0,211735200,211742896,211737968,211735008,211745424,211739952,211747808,211744352
[2026.02.20 18:02:54],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,5.71E-03,5.9,150,0,150,0,211736224,211740352,211737664,211734944,211746480,211740304,211746400,211744944
[2026.02.20 18:02:55],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,5.71E-03,5.9,150,0,150,0,211737328,211748720,211739824,211734480,211746400,211738112,211743776,211745680
[2026.02.20 18:02:56],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,5.50E-03,5.9,150,0,150,0,211736304,211743072,211739552,211739472,211745408,211738640,211744816,211742928
[2026.02.20 18:02:57],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,5.54E-03,5.8,150,0,150,0,211737472,211746576,211737616,211735488,211745808,211738304,211744672,211741360
[2026.02.20 18:02:58],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.71E-03,5.54E-03,5.8,150,0,150,0,211737392,211753536,211738256,211739280,211746704,211737648,211746976,211745184
[2026.02.20 18:02:59],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,5.54E-03,5.8,150,0,150,0,211736448,211745712,211737616,211739824,211746240,211737728,211747200,211742944
[2026.02.20 18:03:00],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.71E-03,5.46E-03,5.9,150,0,150,0,211737536,211742864,211737168,211741072,211747008,211737856,211747280,211745392
[2026.02.20 18:03:01],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,5.54E-03,5.9,150,0,150,0,211740160,211741584,211736176,211736640,211744944,211738528,211748480,211743296
[2026.02.20 18:03:02],64.6,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.71E-03,5.50E-03,5.9,150,0,150,0,211736448,211743264,211738224,211736864,211746816,211738992,211747264,211744960
[2026.02.20 18:03:03],64.6,9,1000,1.8,555,80.0,80.0,80,80,0,0,0,0,0,0,0.0,4.67E-03,5.54E-03,5.8,150,0,150,0,211735184,211740544,211737456,211735664,211744864,211738864,211745744,211747456
[2026.02.20 18:03:04],64.6,9,996,1.8,556,80.0,80.0,80,80,552,0,0,0,0,0,0.0,4.71E-03,5.54E-03,5.8,150,0,150,0,211734992,211743008,211740880,211735344,211746016,211738512,211745536,211743904
[2026.02.20 18:03:05],64.6,9,1001,1.8,555,80.0,80.0,80,80,552,0,0,0,0,0,0.0,4.67E-03,5.50E-03,5.8,150,0,150,0,211734352,211749776,211739008,211735040,211746576,211738768,211745776,211742544
[2026.02.20 18:03:06],64.6,9,1000,1.8,555,80.0,80.0,80,80,552,0,0,0,0,0,0.0,4.69E-03,5.50E-03,5.8,150,0,150,0,211735872,211745840,211739040,211733424,211745392,211738624,211748240,211744272
[2026.02.20 18:03:07],64.6,9,1000,1.9,539,83.8,80.0,80,80,552,0,0,0,0,0,0.0,4.73E-03,5.42E-03,6.0,150,0,150,0,211737472,211745856,211739456,211736256,211746320,211738528,211746416,211742592
[2026.02.20 18:03:08],64.6,9,1000,2.0,515,83.8,73.8,80,80,552,0,0,0,0,0,0.0,4.71E-03,5.54E-03,4.8,150,0,150,0,211844064,211823136,211972368,211785776,212052608,211999408,212011840,211791744
[2026.02.20 18:03:09],64.6,9,1000,2.0,514,89.0,73.8,80,80,504,399,0,0,0,0,0.0,4.71E-03,5.46E-03,7.0,150,0,150,0,211844720,211822512,211960816,211800640,212074944,212039184,212002992,211791904
[2026.02.20 18:03:10],64.6,9,1000,2.0,513,89.0,71.4,80,80,504,399,0,400,0,0,0.0,4.73E-03,5.54E-03,6.1,150,0,150,0,211845568,211812496,211973968,211815136,212095824,212145600,212009088,211792704
[2026.02.20 18:03:11],64.6,9,1000,2.0,512,89.0,71.4,80,80,513,399,0,400,0,0,0.0,4.73E-03,5.42E-03,6.1,150,0,150,0,211844432,211822656,211937136,211795168,212081168,212049856,212005520,211792304
[2026.02.20 18:03:12],64.6,9,1000,2.0,506,89.0,70.9,80,80,513,399,0,400,0,0,0.0,4.73E-03,5.54E-03,5.3,150,0,150,0,211843648,211814752,211938704,211794592,212066896,212089456,212004240,211792032
[2026.02.20 18:03:13],68.9,9,1000,2.0,507,89.0,70.9,80,80,506,399,0,400,0,0,0.0,4.71E-03,5.50E-03,5.7,150,0,150,0,211843760,211822944,211974752,211790864,212067280,212058592,212015568,211790592
[2026.02.20 18:03:14],68.9,13,1000,2.0,507,89.0,70.9,80,80,506,399,0,400,0,0,0.0,4.67E-03,5.54E-03,5.6,150,0,150,0,211844448,211828592,211982864,211798512,212065888,212057872,212019488,211790256
[2026.02.20 18:03:15],68.9,13,1000,2.0,507,89.0,70.9,80,80,506,399,0,400,0,0,0.0,4.67E-03,5.58E-03,5.9,150,0,150,0,211844256,211808560,211925568,211788432,212060624,212092704,211998576,211791920
[2026.02.20 18:03:16],68.9,13,1000,2.0,508,89.0,70.9,80,80,506,399,0,400,0,0,0.0,4.67E-03,5.50E-03,5.7,150,0,150,0,211843776,211818496,211971104,211788928,212062192,212050112,212013632,211790832
[2026.02.20 18:03:17],68.9,13,1000,2.0,508,89.0,70.9,80,80,506,400,0,400,0,0,0.0,4.67E-03,5.54E-03,6.4,150,0,150,0,211843328,211810448,211948096,211800144,212066048,212096816,212000832,211792816
[2026.02.20 18:03:18],68.9,13,1000,2.0,509,89.0,70.9,80,80,506,400,0,400,0,0,0.0,4.67E-03,5.54E-03,5.7,150,0,150,0,211843840,211814272,211949280,211789744,212066032,212045520,212002208,211791648
[2026.02.20 18:03:19],68.9,13,1000,2.0,507,89.0,70.9,80,80,508,400,0,400,0,0,0.0,4.67E-03,5.54E-03,6.2,150,0,150,0,211845120,211826080,211957920,211794880,212066528,212051232,212012288,211790848
[2026.02.20 18:03:20],68.9,13,1000,2.0,508,89.0,70.9,80,80,508,400,0,400,0,0,0.0,4.67E-03,5.50E-03,6.3,150,0,150,0,211844912,211816192,211965168,211800864,212071280,212122720,211999536,211791552
[2026.02.20 18:03:21],68.9,13,1000,2.0,508,89.0,70.9,80,80,506,400,0,400,0,0,0.0,4.67E-03,5.54E-03,5.4,150,0,150,0,211844048,211816608,211928144,211795664,212076112,212046176,212008096,211792048
[2026.02.20 18:03:22],68.9,13,1000,2.0,508,89.0,70.9,80,80,506,400,0,400,0,0,0.0,4.67E-03,5.50E-03,5.5,150,0,150,0,211843392,211818272,211975824,211789024,212064784,212052640,212005904,211791168
[2026.02.20 18:03:23],68.9,13,1000,2.0,507,89.0,70.9,80,80,508,400,0,400,0,0,0.0,4.67E-03,5.58E-03,6.4,150,0,150,0,211843408,211809024,211958512,211805712,212078416,212113120,211991312,211793856
[2026.02.20 18:03:24],68.9,13,1000,2.0,507,89.0,70.9,80,80,508,400,0,400,0,0,0.0,4.67E-03,5.58E-03,4.9,150,0,150,0,211844896,211845328,212009472,211795712,212071600,212070208,212009216,211793312
[2026.02.20 18:03:25],68.9,13,1000,2.0,507,89.0,70.9,80,80,508,400,0,400,0,0,0.0,4.67E-03,5.46E-03,6.3,150,0,150,0,211844672,211814816,211978928,211818640,212093504,212128480,211996512,211792272
[2026.02.20 18:03:26],68.9,13,1000,2.0,507,89.0,70.9,80,80,508,400,0,400,0,0,0.0,4.67E-03,5.46E-03,5.7,150,0,150,0,211844592,211815904,211944736,211798320,212068688,212126656,211995536,211791520
[2026.02.20 18:03:27],68.9,13,1000,2.0,507,89.0,70.9,80,80,508,399,0,400,0,0,0.0,4.67E-03,5.46E-03,5.8,150,0,150,0,211844480,211812176,211924832,211791104,212065984,212038656,211997840,211790720
