Timer,ULVAC.Stage1.Temp1,ULVAC.Stage2.Temp1,EN4.Power,EN4.Current,EN4.Volt,PLA5.Match.Load.Posi,PLA5.Match.Tune.Posi,PLA5.Match.Load.Pre,PLA5.Match.Tune.Pre,PLA5.Match.DCBias,SBRF5.Forward,SBRF5.Reflect,SBRF5.SetPower,PWESC.Volt1,PWESC.Volt2,OES.Data6,Line.Gauge.i,Ion.Gauge.i,Baratron.Gauge.i,Ar.MFC.i,Ar2.MFC.i,Ar.MFC.o,Ar2.MFC.o,PWPDS.Data,PWPDS.Data2,PWPDS.Data3,PWPDS.Data4,PWPDS.Data5,PWPDS.Data6,PWPDS.Data7,PWPDS.Data8
[2026.02.21 02:22:50],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.14E-03,4.25E-07,0.0,0,0,0,0,211750784,211744928,211745168,211743760,211744880,211750592,211749408,211750992
[2026.02.21 02:22:51],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.14E-03,4.18E-07,0.0,0,0,0,0,211750688,211747376,211744944,211742912,211744544,211750336,211748016,211755680
[2026.02.21 02:22:52],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.14E-03,4.28E-07,0.0,0,0,0,0,211751040,211744176,211746288,211742800,211745584,211750176,211748032,211752560
[2026.02.21 02:22:53],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,4.18E-07,0.0,0,0,0,0,211749952,211738816,211745712,211743808,211743264,211750912,211748528,211754064
[2026.02.21 02:22:54],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.14E-03,4.15E-07,0.0,0,0,0,0,211754192,211741872,211745984,211744480,211742432,211749104,211745472,211754608
[2026.02.21 02:22:55],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.14E-03,4.28E-07,0.0,0,0,0,0,211751392,211740032,211746432,211744560,211746384,211750304,211747568,211754160
[2026.02.21 02:22:56],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,4.18E-07,0.0,0,0,0,0,211743920,211748720,211740400,211741440,211751376,211746240,211757040,211746912
[2026.02.21 02:22:57],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.14E-03,4.18E-07,0.0,0,0,0,0,211740160,211748000,211738544,211739760,211749888,211747424,211755248,211745008
[2026.02.21 02:22:58],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.12E-03,4.18E-07,0.0,0,0,0,0,211737600,211747408,211738560,211738976,211749456,211745136,211753840,211743776
[2026.02.21 02:22:59],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.14E-03,4.18E-07,0.0,0,0,0,0,211738928,211741312,211737984,211739136,211750320,211746048,211756400,211746432
[2026.02.21 02:23:00],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.14E-03,4.12E-07,0.0,0,0,0,0,211735856,211741024,211738864,211739120,211748624,211746672,211754832,211740656
[2026.02.21 02:23:01],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.14E-03,4.18E-07,0.0,0,0,0,0,211734176,211742880,211739280,211739152,211750336,211747424,211755920,211744464
[2026.02.21 02:23:02],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.14E-03,4.15E-07,0.0,0,0,0,0,211734304,211740496,211739424,211740000,211744864,211746816,211753424,211739888
[2026.02.21 02:23:03],64.7,9,0,0.0,0,80.0,80.0,80,80,0,0,0,0,0,0,0.0,5.14E-03,4.15E-07,0.0,0,0,150,0,211736672,211751264,211739376,211736160,211750000,211746288,211752656,211741888
